Date,NSE Momentum Index,Equity + Puts,Equity + Puts + Calls,Equity + Gold + Puts + Calls,Gold Bees,QAW,QGF,QVF
01/04/2005,1000,,,,,,,
02/04/2005,1000,,,,,,,
03/04/2005,1000,,,,,,,
04/04/2005,1015.88,,,,,,,
05/04/2005,1012.58,,,,,,,
06/04/2005,1026.82,,,,,,,
07/04/2005,1021.33,,,,,,,
08/04/2005,1013.41,,,,,,,
09/04/2005,1013.41,,,,,,,
10/04/2005,1013.41,,,,,,,
11/04/2005,1001.53,,,,,,,
12/04/2005,1008.69,,,,,,,
13/04/2005,1011.14,,,,,,,
14/04/2005,1011.14,,,,,,,
15/04/2005,986.24,,,,,,,
16/04/2005,986.24,,,,,,,
17/04/2005,986.24,,,,,,,
18/04/2005,973.17,,,,,,,
19/04/2005,976.36,,,,,,,
20/04/2005,987.08,,,,,,,
21/04/2005,1004.6,,,,,,,
22/04/2005,1024.86,,,,,,,
23/04/2005,1024.86,,,,,,,
24/04/2005,1024.86,,,,,,,
25/04/2005,1028.71,,,,,,,
26/04/2005,1024.31,,,,,,,
27/04/2005,1010.7,,,,,,,
28/04/2005,1007.19,,,,,,,
29/04/2005,992.08,,,,,,,
30/04/2005,992.08,,,,,,,
01/05/2005,992.08,,,,,,,
02/05/2005,982.33,,,,,,,
03/05/2005,985.89,,,,,,,
04/05/2005,995.81,,,,,,,
05/05/2005,1002.55,,,,,,,
06/05/2005,1005.76,,,,,,,
07/05/2005,1005.76,,,,,,,
08/05/2005,1005.76,,,,,,,
09/05/2005,1021.11,,,,,,,
10/05/2005,1016.86,,,,,,,
11/05/2005,1019.8,,,,,,,
12/05/2005,1029.85,,,,,,,
13/05/2005,1036.56,,,,,,,
14/05/2005,1036.56,,,,,,,
15/05/2005,1036.56,,,,,,,
16/05/2005,1049.07,,,,,,,
17/05/2005,1039.45,,,,,,,
18/05/2005,1046.93,,,,,,,
19/05/2005,1052.17,,,,,,,
20/05/2005,1045.23,,,,,,,
21/05/2005,1045.23,,,,,,,
22/05/2005,1045.23,,,,,,,
23/05/2005,1052.92,,,,,,,
24/05/2005,1058.19,,,,,,,
25/05/2005,1061.85,,,,,,,
26/05/2005,1060.89,,,,,,,
27/05/2005,1055.21,,,,,,,
28/05/2005,1055.21,,,,,,,
29/05/2005,1055.21,,,,,,,
30/05/2005,1047.43,,,,,,,
31/05/2005,1052.85,,,,,,,
01/06/2005,1059.04,,,,,,,
02/06/2005,1050.59,,,,,,,
03/06/2005,1056.21,,,,,,,
04/06/2005,1056.53,,,,,,,
05/06/2005,1056.53,,,,,,,
06/06/2005,1057.77,,,,,,,
07/06/2005,1058.31,,,,,,,
08/06/2005,1057.31,,,,,,,
09/06/2005,1062.01,,,,,,,
10/06/2005,1059.21,,,,,,,
11/06/2005,1059.21,,,,,,,
12/06/2005,1059.21,,,,,,,
13/06/2005,1058.05,,,,,,,
14/06/2005,1061.73,,,,,,,
15/06/2005,1067.2,,,,,,,
16/06/2005,1052.9,,,,,,,
17/06/2005,1036.09,,,,,,,
18/06/2005,1036.09,,,,,,,
19/06/2005,1036.09,,,,,,,
20/06/2005,1028.16,,,,,,,
21/06/2005,1031.3,,,,,,,
22/06/2005,1031.4,,,,,,,
23/06/2005,1036.29,,,,,,,
24/06/2005,1047.19,,,,,,,
25/06/2005,1047.19,,,,,,,
26/06/2005,1047.19,,,,,,,
27/06/2005,1043,,,,,,,
28/06/2005,1024.8,,,,,,,
29/06/2005,1035.07,,,,,,,
30/06/2005,1035.33,,,,,,,
01/07/2005,1050.11,,,,,,,
02/07/2005,1050.11,,,,,,,
03/07/2005,1050.11,,,,,,,
04/07/2005,1068.31,,,,,,,
05/07/2005,1067.85,,,,,,,
06/07/2005,1087.43,,,,,,,
07/07/2005,1073.51,,,,,,,
08/07/2005,1090.09,,,,,,,
09/07/2005,1090.09,,,,,,,
10/07/2005,1090.09,,,,,,,
11/07/2005,1103.16,,,,,,,
12/07/2005,1103.3,,,,,,,
13/07/2005,1112.33,,,,,,,
14/07/2005,1115.85,,,,,,,
15/07/2005,1126.44,,,,,,,
16/07/2005,1126.44,,,,,,,
17/07/2005,1126.44,,,,,,,
18/07/2005,1152.83,,,,,,,
19/07/2005,1166.9,,,,,,,
20/07/2005,1164.78,,,,,,,
21/07/2005,1163.88,,,,,,,
22/07/2005,1176.85,,,,,,,
23/07/2005,1176.85,,,,,,,
24/07/2005,1176.85,,,,,,,
25/07/2005,1181.06,,,,,,,
26/07/2005,1178.11,,,,,,,
27/07/2005,1182.36,,,,,,,
28/07/2005,1182.36,,,,,,,
29/07/2005,1178.96,,,,,,,
30/07/2005,1178.96,,,,,,,
31/07/2005,1178.96,,,,,,,
01/08/2005,1191.13,,,,,,,
02/08/2005,1218.51,,,,,,,
03/08/2005,1220.89,,,,,,,
04/08/2005,1225.5,,,,,,,
05/08/2005,1239.68,,,,,,,
06/08/2005,1239.68,,,,,,,
07/08/2005,1239.68,,,,,,,
08/08/2005,1229.29,,,,,,,
09/08/2005,1222.59,,,,,,,
10/08/2005,1253.73,,,,,,,
11/08/2005,1280.29,,,,,,,
12/08/2005,1284.83,,,,,,,
13/08/2005,1284.83,,,,,,,
14/08/2005,1284.83,,,,,,,
15/08/2005,1284.83,,,,,,,
16/08/2005,1292.61,,,,,,,
17/08/2005,1306.08,,,,,,,
18/08/2005,1307.31,,,,,,,
19/08/2005,1303.04,,,,,,,
20/08/2005,1303.04,,,,,,,
21/08/2005,1303.04,,,,,,,
22/08/2005,1303.87,,,,,,,
23/08/2005,1272.07,,,,,,,
24/08/2005,1247.99,,,,,,,
25/08/2005,1260.68,,,,,,,
26/08/2005,1291.58,,,,,,,
27/08/2005,1291.58,,,,,,,
28/08/2005,1291.58,,,,,,,
29/08/2005,1288.51,,,,,,,
30/08/2005,1309.72,,,,,,,
31/08/2005,1317.4,,,,,,,
01/09/2005,1338.4,,,,,,,
02/09/2005,1341.62,,,,,,,
03/09/2005,1341.62,,,,,,,
04/09/2005,1341.62,,,,,,,
05/09/2005,1342.84,,,,,,,
06/09/2005,1347.31,,,,,,,
07/09/2005,1347.31,,,,,,,
08/09/2005,1359.97,,,,,,,
09/09/2005,1360.47,,,,,,,
10/09/2005,1360.47,,,,,,,
11/09/2005,1360.47,,,,,,,
12/09/2005,1373.04,,,,,,,
13/09/2005,1384.31,,,,,,,
14/09/2005,1376.23,,,,,,,
15/09/2005,1395.92,,,,,,,
16/09/2005,1404.07,,,,,,,
17/09/2005,1404.07,,,,,,,
18/09/2005,1404.07,,,,,,,
19/09/2005,1439.46,,,,,,,
20/09/2005,1427.4,,,,,,,
21/09/2005,1393.49,,,,,,,
22/09/2005,1326.56,,,,,,,
23/09/2005,1339.32,,,,,,,
24/09/2005,1339.32,,,,,,,
25/09/2005,1339.32,,,,,,,
26/09/2005,1384.93,,,,,,,
27/09/2005,1413.02,,,,,,,
28/09/2005,1438.04,,,,,,,
29/09/2005,1440.76,,,,,,,
30/09/2005,1428.64,,,,,,,
01/10/2005,1428.64,,,,,,,
02/10/2005,1428.64,,,,,,,
03/10/2005,1434.06,,,,,,,
04/10/2005,1439.94,,,,,,,
05/10/2005,1442.17,,,,,,,
06/10/2005,1425.14,,,,,,,
07/10/2005,1419.4,,,,,,,
08/10/2005,1419.4,,,,,,,
09/10/2005,1419.4,,,,,,,
10/10/2005,1414.63,,,,,,,
11/10/2005,1404.89,,,,,,,
12/10/2005,1404.89,,,,,,,
13/10/2005,1392.33,,,,,,,
14/10/2005,1358.44,,,,,,,
15/10/2005,1358.44,,,,,,,
16/10/2005,1358.44,,,,,,,
17/10/2005,1344.86,,,,,,,
18/10/2005,1340.56,,,,,,,
19/10/2005,1300.91,,,,,,,
20/10/2005,1271.79,,,,,,,
21/10/2005,1297.97,,,,,,,
22/10/2005,1297.97,,,,,,,
23/10/2005,1297.97,,,,,,,
24/10/2005,1302.43,,,,,,,
25/10/2005,1297.74,,,,,,,
26/10/2005,1292.18,,,,,,,
27/10/2005,1270.82,,,,,,,
